,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,0.7841191,-0.4251985,0.34940797,0.19320418,0.094676115,0.1583493,0.6067257,0.027765885,-0.7437689,-0.7999111,-0.35621685,-0.2713332,-0.892664,-0.6302461,-0.07641353,0.48924118,0.5233071,-0.08811995,-0.1463444,0.50561374,0.5988131,0.3634072,1.0905039,-0.051831182,-0.719532,0.24440728,-0.5463785,-0.2691077,0.004319937,-0.6310514,0.6583058,0.5864615,0.40461504,-0.3460243,-0.5696959,-0.62037456,0.5167024,-0.026293408,0.13875459,-0.06162535,0.85535705,0.44796756,-0.10394764,-0.17945006,0.36689237,-0.31728554,0.36703116,0.23750597,0.12575427,0.16547514,0.08543985,-0.4602376,0.6119844,0.38748875,-0.31966227,1.0632665,0.12974197,0.32484946,-0.17682782,0.57864195,-0.04353825,-0.6963385,0.042844206,0.5227937
21,-0.24772736,-0.841261,-0.16919808,-0.339753,0.55074626,-0.15244529,0.043357477,-0.36369547,-0.5517575,-0.1722116,-0.037778385,-0.0071939304,0.41363877,-0.46322352,-0.338806,0.40483797,0.34153003,0.32591802,0.20557822,1.0597546,0.71957344,0.40376008,0.6039106,-0.28357935,0.3133742,0.2942242,-0.1933538,-0.5158927,-0.4170672,-0.14489661,0.2212269,0.52439,0.13187605,-0.12920737,0.05006841,-0.06715517,0.18280566,-0.4561788,0.03355781,0.37061566,-0.027676592,0.3367291,-0.45658386,0.54874825,0.047931336,-0.48865518,0.6585682,-0.21021949,-0.038086694,0.4187502,-0.35236603,-0.40165308,-0.0579331,-0.055692866,-0.5728187,0.8304515,0.5549839,0.2775644,0.34065655,0.21804658,0.31310472,-0.3313008,0.85990256,-0.030988956
22,0.67162645,-0.16873962,0.074014194,-0.24006338,-0.3834604,-0.5136812,0.6520693,0.090329595,-0.4765666,-0.12932289,0.41616884,-0.65650254,-0.13301437,-0.6990628,0.4193974,-0.13160951,-0.6673384,-0.5247704,-0.31562242,0.76843566,0.015342436,0.5617262,-0.17777607,-0.6571768,0.17724012,0.57129526,-0.20776823,-0.09571934,0.4053433,-0.3304057,0.4798695,0.6531847,-0.66276973,-0.36904874,0.41629526,0.4873116,0.20949657,0.22057098,-0.11408965,0.16109845,-0.28963393,0.50593597,-0.5725334,-0.24082403,-0.11893939,-0.036975387,0.05534266,-0.434104,-0.3521075,-0.17902449,0.28764132,-0.0907699,0.5403233,0.49251357,-0.06675474,-0.05540853,0.43140775,-0.55170274,-0.6315941,0.84678423,-0.5470806,0.020165596,0.27709877,0.8026032
23,0.25033763,-0.23404245,0.33830813,0.111953646,-0.11842711,-0.51995444,0.8199639,-0.09978656,-0.5060882,-0.067543626,0.50094056,-0.29516262,0.109610006,-0.85384023,0.53007776,0.621589,0.085697174,-0.62002885,-0.13380285,0.5020406,0.81021804,0.4802299,0.6030996,0.08914254,-0.21172462,0.09843884,0.2483129,-0.3744691,0.22774279,0.079055704,-0.21005262,0.62771523,-0.42725348,-0.4837049,-0.15269035,-0.0039895815,0.3415346,-0.15721636,-0.25571418,0.84300935,0.23934065,-0.07883401,0.013056688,-0.17316322,0.2504082,0.19934034,0.8340911,-0.17323193,0.09661624,0.7419126,0.46169943,0.74585176,-0.23979086,0.964831,0.44254664,0.7855327,0.7697096,0.19018134,0.24273737,0.54978687,0.6395985,-0.3440732,0.43713343,0.081629954
24,0.10397022,-0.36442125,-0.30035225,0.38129175,-0.0018673397,-0.17519754,-0.45095766,-0.34237775,-0.29492068,-0.5057896,0.5836105,-0.45345455,-0.6491986,-0.79746515,-0.22462259,0.39213538,0.17522363,-0.28342217,0.38181844,0.7702289,0.9890052,0.5263856,0.3774196,-0.5391573,-0.5869848,0.037766006,-0.38969925,-0.053489897,-0.51477385,0.168846,-0.093000405,-0.09290176,0.28668875,-0.26137108,0.27470535,-0.42046207,0.22478378,0.20866157,0.067247525,-0.19875337,-0.36153638,0.74044514,0.19099021,0.5579621,0.45651495,-0.73543745,0.91007966,-0.03204976,0.3451242,0.34828758,0.62502086,-0.41872254,0.5845227,0.6310898,0.44404185,0.87346894,0.16236039,0.05349192,0.42508686,0.2758322,0.07554347,0.14746489,0.13976574,0.0010175883
25,0.12001122,-0.11917986,0.030597338,0.5054843,0.2963403,-0.6125694,0.49687776,-0.38485146,-0.2619128,-0.10488146,0.28736398,-0.92342806,0.39111793,-0.5430329,0.16369264,0.40819088,0.13012736,0.31036305,0.36448172,1.1704568,0.2064256,0.98147875,0.26077196,-0.14104658,0.06603724,0.08799045,-0.95683813,-0.27091774,-0.30583376,-0.26132882,-0.1976218,0.35993952,-0.8083211,-0.2524777,0.3739579,0.2447605,0.46805546,0.22486377,0.2285005,-0.26202977,0.21363367,0.20603497,-0.100601725,-0.033484552,0.6615346,0.011019269,-0.2599347,-0.3669805,-0.12211654,0.39451775,0.4664666,0.3289409,0.40832302,-0.04309132,0.024252502,0.29570028,-0.10046628,0.2433253,-0.23781754,0.031820748,-0.08215136,-0.46907178,0.097258866,0.5129652
26,-0.008869015,0.010394353,-0.004385449,-0.0037745629,0.011460377,0.00527326,-0.00048407726,0.014028316,0.010706231,0.012766266,-0.014854517,0.002115909,-0.0049906205,-0.008096943,0.007919051,0.0019015521,-0.014474081,-0.0031379387,-0.0040891953,-0.0026096962,0.0151349325,0.015240848,-0.010096416,-0.008424949,0.009638619,-0.0014699232,0.0072512254,0.008565882,0.011705073,0.010256628,0.013007645,0.0032989774,0.005441541,-0.0044123344,-0.010810716,0.0066612884,0.0047403853,-0.009382678,-0.008745767,-0.0048242547,-0.0063167196,-0.007208539,-0.011601845,0.0051401015,-0.00032215938,0.0048239883,-0.0006035641,0.006972907,0.0069659296,0.012575451,-0.008612627,-0.010788167,-0.0058431886,-0.012220645,0.0065964907,0.0014938004,0.012483597,0.0069924705,0.010848496,-0.005803339,0.0067266654,-0.01450425,0.011136105,-0.0025466066
27,1.013143,-0.29652944,0.05247704,-0.14466509,0.30100256,-0.6770539,0.59959036,-0.2703503,-0.3550057,-0.097952425,-0.011943123,-1.1072682,-0.37153754,-0.5914907,0.16263789,0.76763654,0.2785332,0.38359553,0.3013113,0.97653586,0.417196,0.83797866,0.22512417,-0.1919768,0.056932215,0.90140855,0.042605594,-0.46879208,0.060463775,0.15308899,0.101616696,-0.48252293,0.4676914,0.16326028,-0.044173807,0.1027893,-0.2078452,0.40002903,-0.15931007,-0.18358502,0.45988452,-0.09770284,-0.43792573,-0.2658586,0.40107572,-0.77659035,0.49835622,0.30312535,0.09249039,0.010307761,0.6104413,-0.8469784,0.47430906,0.038018115,0.44955125,-0.08477405,0.12014284,-0.7292877,-0.4569644,0.6136816,-0.10345029,-0.29133162,0.22813776,0.6026815
28,-0.10983602,0.51782405,0.035399005,0.1824574,0.004743814,-0.4533218,0.23433362,-0.5385675,-0.8049078,-0.55617625,0.7335599,-0.37136665,-0.27916092,-0.47089082,-0.0686953,0.04167741,0.37591562,-0.3795703,0.1795365,1.738869,0.75587606,0.6955322,0.8106569,-0.6668695,-0.38765767,0.5285209,0.17667842,0.42676294,0.14670835,-0.3932916,0.12796718,0.3855947,-0.20224284,-0.5181036,0.08940498,0.1702134,-0.11454953,-0.33696514,-0.55931884,0.4341594,0.065792456,0.17166638,0.07030895,0.11278119,0.62994015,-0.40190503,0.7242802,-0.42332262,-0.3937473,0.0065814643,-0.42278993,-0.51875025,0.14909041,0.40136296,-0.10064612,-0.5027057,-0.24817872,-0.063816346,-0.45571366,0.52886426,-0.10280773,-0.13244887,-0.31021902,0.48487562
29,0.9719566,-0.28258303,-0.29422963,0.21268182,0.14412062,-0.73310643,0.11391212,-0.246892,-0.66153544,-0.7674693,0.44114146,-0.10426727,-0.28434297,-0.36352044,-0.4310579,0.37751916,0.14600235,0.07220623,0.1833472,0.3652292,0.8152035,0.071496695,0.47301874,-1.0182052,-0.16858312,-0.04159086,-0.32467496,-0.29745886,-0.32657707,0.04901763,0.0771255,0.060021996,-0.038179323,-0.36146972,-0.24065514,-0.29700568,-0.6890904,-0.14129263,0.33891928,-0.025739303,-0.27439645,0.5271163,-0.034530476,-0.46924865,0.4323744,-0.39338624,-0.503018,-0.31882915,-0.06652489,0.46025357,-0.46111527,0.7327648,-0.47229707,0.31360942,0.59094995,0.59615815,-0.035361875,0.016909255,-0.14413612,0.44471696,-0.30524784,-0.68618286,0.5633586,-0.066366546
30,1.0105308,-0.9307777,0.11246848,0.13146685,0.19973618,-0.4790357,0.20257893,0.15242267,-0.10807756,-0.5245157,0.7211472,0.121230245,-0.33387044,-0.6109639,0.44424108,0.7471341,-0.26624393,-0.5105492,0.3149912,0.55223495,0.60433567,0.31444237,0.96554905,-0.7655916,0.16358665,0.4744964,0.099541456,0.13617605,-0.24500431,0.08209833,-0.10453496,0.015711721,0.5292261,-0.10207102,0.22681221,-0.27786765,-0.6194051,-0.616154,0.27495307,-0.106668726,0.10095274,-0.3604745,-0.38826135,-0.28065777,0.67790985,-0.9004746,0.70597464,-0.08831905,-0.116111204,0.2719613,-0.2135797,-0.41816175,0.23803793,0.49196172,0.33092582,0.048119113,0.1516214,0.44769007,-0.48191428,0.56177944,-0.60609776,-0.19076607,0.5713399,0.5779819
31,0.35673255,-0.51894474,0.28678623,-0.24328178,0.15262721,-0.694944,0.7466439,-0.66232884,-0.29466406,-0.3739003,0.33627376,-0.2739313,-0.26305777,-0.89115304,0.5986711,0.19929366,0.1664393,-0.39850944,-0.07417826,0.64532775,0.59919494,0.29176384,-0.1194928,0.1503934,-0.22301146,0.7135058,-0.33198544,0.30252036,0.05403325,0.32046542,-0.7599123,0.27344453,5.2977208e-05,-0.2541967,0.23272404,-0.02102023,0.25686607,-0.34265494,0.4649327,0.20773631,0.4112071,0.68714863,-0.8168166,0.30219236,-0.2870884,-0.39513075,0.10566248,-0.05331981,-0.26136106,0.06483462,0.71235543,-0.65630424,-0.23322392,0.10354426,-0.12167286,-0.015161082,-0.7609769,0.07992343,-0.5879809,0.31429717,-0.50222135,-0.48909587,0.56205106,-0.50037026
